CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
01397,7,3,2,0,0,0,1,1,3,2
01398,44,36,6,1,0,5,4,16,17,2
01399,42,30,8,1,0,1,2,5,32,2
01400,2,2,0,0,0,1,0,0,0,1
01401,14,9,3,0,0,0,1,2,9,2
01402,14,12,0,0,0,5,0,2,5,2
01403,38,26,5,0,0,0,2,8,22,6
01404,3,2,0,0,0,0,0,0,2,1
01405,31,19,7,3,0,1,4,1,20,5
01406,2,2,0,0,0,1,0,0,0,1
01407,20,18,1,0,0,0,1,0,14,5
01408,23,16,1,2,0,2,7,1,11,2
01410,8,6,0,0,0,2,0,1,3,2
01411,3,3,0,0,0,0,0,0,1,2
01412,15,14,1,0,0,5,1,2,4,3
01415,11,9,1,1,0,0,0,2,5,4
01416,17,13,1,2,0,1,3,5,4,4
01418,24,19,2,1,0,3,3,5,11,2
01419,186,139,31,4,0,5,6,11,152,12
01420,42,33,4,0,0,1,1,1,31,8
01421,17,10,6,0,0,0,7,4,4,2
01422,46,29,10,4,0,0,7,9,25,5
01423,16,15,0,0,0,0,1,5,7,3
01424,42,32,3,1,0,5,5,11,18,3
01425,11,10,1,0,0,3,0,4,3,1
01426,68,48,10,3,0,5,11,13,32,7
01427,247,169,43,14,2,0,37,37,141,32
01428,4,4,0,0,0,2,0,1,0,1
01429,8,6,0,0,0,2,0,3,1,2
01430,13,11,1,0,0,2,1,3,5,2
01431,33,23,5,1,0,3,3,9,16,2
01432,8,7,0,0,0,1,1,3,2,1
01433,5,3,1,1,0,1,0,0,1,3
01434,9,8,1,0,0,0,1,1,5,2
01435,18,15,2,0,0,1,2,2,10,3
01436,3,3,0,0,0,0,0,0,1,2
01437,2,2,0,0,0,1,0,0,0,1
01439,1,1,0,0,0,0,0,0,0,1
01441,24,17,5,1,0,4,7,5,6,2
01443,152,111,27,6,1,4,10,15,104,19
01444,16,13,2,0,0,0,1,3,10,2
01445,13,12,0,0,0,3,1,3,4,2
01446,35,32,1,0,0,4,0,13,16,2
01447,34,25,4,2,0,5,9,6,10,4
01448,7,7,0,0,0,1,1,1,2,2
01449,13,10,2,0,0,0,1,3,6,3
01450,84,60,13,2,0,3,12,18,40,11
01451,376,247,99,13,3,9,31,44,267,25
01452,27,20,5,0,0,0,4,6,10,7
01453,20,18,1,1,0,1,2,11,3,3
01454,44,35,5,2,0,1,4,5,29,5
01456,5,4,0,0,0,2,1,0,1,1
01457,102,74,19,3,0,6,12,17,59,8
02001,10,7,2,0,0,0,0,6,1,3
02002,8,6,0,0,0,0,0,2,4,2
02003,16,12,1,1,0,4,1,2,3,6
02004,5,5,0,0,0,3,0,1,0,1
02005,7,4,0,0,0,4,0,0,2,1
02006,9,6,1,0,0,1,0,5,2,1
02007,1,1,0,0,0,0,0,0,0,1
02008,5,4,0,0,0,3,0,0,1,1
02009,5,4,1,0,0,1,0,1,1,2
02010,3,3,0,0,0,1,1,0,0,1
02011,22,14,5,0,0,2,3,6,7,4
02012,4,3,0,0,0,3,0,0,0,1
02013,17,14,2,0,0,6,0,5,4,2
02014,11,9,1,0,0,0,0,6,3,2
02015,1,1,0,0,0,0,0,0,0,1
02016,2,2,0,0,0,1,0,0,0,1
02017,6,5,0,0,0,4,0,0,0,2
02018,58,44,6,2,0,3,4,7,32,12
02019,6,6,0,0,0,1,0,1,3,1
02020,9,6,0,0,0,3,1,2,1,2
02021,3,2,0,0,0,1,0,0,1,1
02022,12,10,0,0,0,7,0,1,2,2
02023,5,5,0,0,0,1,0,2,1,1
02024,2,2,0,0,0,1,0,0,0,1
02025,9,9,0,0,0,2,0,3,2,2
02027,6,5,0,0,0,2,2,1,0,1
02028,49,35,7,2,0,6,6,14,18,5
02029,6,2,1,0,0,3,0,0,2,1
02030,6,5,0,0,0,1,3,0,1,1
02031,18,14,1,1,0,5,2,2,5,4
02032,6,5,1,0,0,3,1,0,0,2
02033,4,3,0,0,0,1,1,0,1,1
02034,6,6,0,0,0,3,0,1,1,1
02035,7,7,0,0,0,5,0,0,0,2
02036,1,1,0,0,0,0,0,0,0,1
02037,25,15,5,1,0,2,5,4,7,7
02038,3,3,0,0,0,1,0,1,0,1
02039,7,7,0,0,0,2,1,0,3,1
