CODGEO,mean_salary,mean_salary_executive,mean_salary_middlemanagement,mean_salary_employee,mean_salary_worker,mean_salary_youngage,mean_salary_mediumage,mean_salary_oldage,gender
01163,14.5341690230593,25.8756775232379,17.1624868797847,11.2392934050554,12.3728064135415,10.5027832362058,14.3299731383122,16.5910599599136,1
01166,17.6947350626986,26.2414510573432,17.3997855956375,12.9451690817918,12.7501950381956,10.77666636612,16.8632812359879,22.1334776537962,1
01166,14.4330628766352,24.7746607598083,14.9442674291058,11.6820285081311,10.8022717393339,10.360921047898,15.1064275633973,14.2180883977327,2
01173,13.2112389167887,21.3021433548724,14.9470707530985,11.486814937917,10.5610897082495,10.6272249085928,13.5527153287314,14.2688442401087,2
01173,14.9328403823895,27.5651539909793,15.7718829438872,11.4111473442555,12.9297992136692,10.8297988251127,15.0541063177344,16.9451921638675,1
01185,13.4306500501433,25.8478905115279,15.4425065246431,10.735369043117,11.41460881534,10.2868832760764,13.0159721701969,15.6111281765109,1
01185,12.8776750619422,27.0078741915718,15.3659414453262,10.7825038087685,9.13013407158558,10.9239225774811,12.9118656487134,13.6227140910289,2
01192,15.9877174577744,25.3602402857444,16.7328363837992,11.7763047749975,13.0791261450017,10.8878250316048,16.411685672156,17.0978540276321,1
01192,12.6482334746203,18.995081504845,14.5118108875793,11.9553050535459,10.7126889100262,10.7355865231,12.8854993197155,12.6711763363082,2
01194,13.8379546309081,21.8063868051346,14.9942921433284,11.8752220248576,11.2055347214416,10.5471577474445,14.083412352136,14.7058840546076,2
